Q44,Q44A1,Q44A2,Q44A3,Q43,REQ43,Q36,Q45A1,Q45A3,Q45A5,D_SIZE,D_IND,D_INDSIZE,RIM_WT,year
1,0,1,0,1,1,3,4,4,3,1,6,61,26.1352847221017,2021
1,0,1,0,5,3,3,4,4,4,3,12,123,2.15280593249437,2021
1,0,1,0,5,3,3,4,4,3,3,12,123,2.17926683410346,2021
1,0,1,0,1,1,3,4,4,4,2,12,122,5.51309502669958,2021
1,0,1,0,5,3,3,4,4,3,3,12,123,2.15280593249437,2021
2, , , ,2,2,3,4,3,4,3,2,23,1.80979125904423,2021
1,0,1,1,1,1,2,4,4,4,3,5,53,1.90238273942355,2021
2, , , ,1,1,3,4,3,3,1,5,51,35.7997744653139,2021
1,0,1,0,5,3,2,3,3,3,3,5,53,2.33818225921667,2021
1,0,1,0,2,2,1,5,4,4,3,5,53,2.33818225921667,2021
1,0,1,1,1,1,2,5,3,3,3,15,153,1.04879197360644,2021
2, , , ,1,1,2,3,3,4,2,6,62,6.22850086364066,2021
2, , , ,1,1,2,3,2,2,3,10,103,1.29146224371385,2021
2, , , ,1,1,2,2,2,2,2,6,62,6.22850086364066,2021
2, , , ,1,1,2,3,3,2,1,5,51,33.4790428311607,2021
1,1,1,1,1,1,1,4,4,2,3,2,23,1.65171616972621,2021
1,0,0,1,1,1,2,3,3,3,1,7,71,19.2398629555533,2021
2, , , ,1,1,2,3,3,3,1,10,101,11.209825701582,2021
2, , , ,1,1,3,3,3,3,3,4,43,1.50564977960735,2021
1,0,1,0,1,1,1,4,4,4,2,8,82,5.30202443947941,2021
1,0,1,0,1,1,3,2,3,1,3,12,123,1.1956889620623,2021
1,0,0,1,1,1,2,2,2,2,1,16,161,44.1833664541775,2021
1,1,0,1,1,1,3,2,2,2,3,12,123,1.12471883856725,2021
2, , , ,1,1,2,3,3,2,1,7,71,19.2398629555533,2021
1,0,0,1,1,1,2,1,1,1,1,8,81,31.5229560271105,2021
