ai_use_sum,it_org_any,it_org_label,predicted,ci_lower,ci_upper,ai_range_rule,control_firm_size,control_industry,control_region,control_firm_type,control_it_invest_sum
0.3,1,it_org_any = 1,4.02562548213163,3.980205177060816,4.071045787202445,p5_to_p95,1,2,1,2,3.201425878882242
0.32999999999999996,1,it_org_any = 1,4.026674743018356,3.9812881874435284,4.072061298593184,p5_to_p95,1,2,1,2,3.201425878882242
0.36,1,it_org_any = 1,4.027724003905082,3.9823676054426964,4.0730804023674665,p5_to_p95,1,2,1,2,3.201425878882242
0.39,1,it_org_any = 1,4.028773264791806,3.9834434238884784,4.0741031056951345,p5_to_p95,1,2,1,2,3.201425878882242
0.42,1,it_org_any = 1,4.029822525678532,3.9845156364510195,4.075129414906044,p5_to_p95,1,2,1,2,3.201425878882242
0.44999999999999996,1,it_org_any = 1,4.030871786565257,3.9855842376479464,4.076159335482568,p5_to_p95,1,2,1,2,3.201425878882242
0.48,1,it_org_any = 1,4.031921047451982,3.986649222850889,4.077192872053075,p5_to_p95,1,2,1,2,3.201425878882242
0.51,1,it_org_any = 1,4.032970308338708,3.987710588290997,4.078230028386419,p5_to_p95,1,2,1,2,3.201425878882242
0.54,1,it_org_any = 1,4.034019569225434,3.988768331063447,4.07927080738742,p5_to_p95,1,2,1,2,3.201425878882242
0.57,1,it_org_any = 1,4.0350688301121584,3.9898224491309224,4.080315211093395,p5_to_p95,1,2,1,2,3.201425878882242
0.6,1,it_org_any = 1,4.036118090998883,3.99087294132606,4.081363240671706,p5_to_p95,1,2,1,2,3.201425878882242
0.63,1,it_org_any = 1,4.037167351885609,3.991919807352852,4.082414896418365,p5_to_p95,1,2,1,2,3.201425878882242
0.6599999999999999,1,it_org_any = 1,4.0382166127723345,3.9929630477869975,4.083470177757672,p5_to_p95,1,2,1,2,3.201425878882242
0.69,1,it_org_any = 1,4.03926587365906,3.994002664075215,4.084529083242905,p5_to_p95,1,2,1,2,3.201425878882242
0.72,1,it_org_any = 1,4.040315134545785,3.9950386585335034,4.085591610558066,p5_to_p95,1,2,1,2,3.201425878882242
0.75,1,it_org_any = 1,4.0413643954325105,3.9960710343443666,4.086657756520655,p5_to_p95,1,2,1,2,3.201425878882242
0.78,1,it_org_any = 1,4.042413656319235,3.997099795552998,4.087727517085472,p5_to_p95,1,2,1,2,3.201425878882242
0.8099999999999999,1,it_org_any = 1,4.043462917205961,3.998124947062454,4.088800887349468,p5_to_p95,1,2,1,2,3.201425878882242
0.84,1,it_org_any = 1,4.0445121780926865,3.9991464946278055,4.089877861557568,p5_to_p95,1,2,1,2,3.201425878882242
0.87,1,it_org_any = 1,4.045561438979411,4.000164444849307,4.090958433109515,p5_to_p95,1,2,1,2,3.201425878882242
0.8999999999999999,1,it_org_any = 1,4.046610699866137,4.001178805164592,4.0920425945676815,p5_to_p95,1,2,1,2,3.201425878882242
0.9299999999999999,1,it_org_any = 1,4.047659960752862,4.002189583839903,4.09313033766582,p5_to_p95,1,2,1,2,3.201425878882242
0.96,1,it_org_any = 1,4.048709221639587,4.003196789960414,4.09422165331876,p5_to_p95,1,2,1,2,3.201425878882242
0.99,1,it_org_any = 1,4.049758482526313,4.00420043341963,4.095316531632996,p5_to_p95,1,2,1,2,3.201425878882242
1.02,1,it_org_any = 1,4.050807743413038,4.0052005249079246,4.096414961918151,p5_to_p95,1,2,1,2,3.201425878882242
1.05,1,it_org_any = 1,4.051857004299763,4.006197075900236,4.097516932699291,p5_to_p95,1,2,1,2,3.201425878882242
1.08,1,it_org_any = 1,4.052906265186488,4.007190098642939,4.098622431730037,p5_to_p95,1,2,1,2,3.201425878882242
1.1099999999999999,1,it_org_any = 1,4.053955526073214,4.008179606139959,4.099731446006468,p5_to_p95,1,2,1,2,3.201425878882242
1.14,1,it_org_any = 1,4.055004786959939,4.009165612138128,4.1008439617817505,p5_to_p95,1,2,1,2,3.201425878882242
1.17,1,it_org_any = 1,4.056054047846664,4.010148131111846,4.101959964581482,p5_to_p95,1,2,1,2,3.201425878882242
